ID_ESTADO,ID_DISTRITO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
23,5,C_PVEM_PT,REYNA ARELLY DURAN OVANDO,DENIA DE YTA BAUTISTA
23,5,MORENA,REYNA ARELLY DURAN OVANDO,DENIA DE YTA BAUTISTA
23,5,PT,REYNA ARELLY DURAN OVANDO,DENIA DE YTA BAUTISTA
23,5,PVEM,REYNA ARELLY DURAN OVANDO,DENIA DE YTA BAUTISTA
23,5,MAS,NICOLAS FERNANDO PUERTO CASTILLO,MARTHA MARGARITA RODRIGUEZ RODRIGUEZ
23,5,CQROO,HECTOR AVILA CORAL,NORCA DE LA CRUZ RODRIGUEZ CEBALLOS
23,6,PRI,KARLA MICHEL CARBALLO LOPEZ,WENDY YOLANDA FANNY GONZALEZ BURGOS
23,6,MC,GABRIELA ABIGAIL ANDUEZA PUERTO,ADRIANA INES MORA CUBILLOS
23,6,C_PAN_PRD_PESQROO,MILAGROS FATIMA GARNICA ANDERE,CATALINA GARCIA DE LA CRUZ
23,6,C_PAN_PRD,MILAGROS FATIMA GARNICA ANDERE,CATALINA GARCIA DE LA CRUZ
23,6,C_PAN_PESQROO,MILAGROS FATIMA GARNICA ANDERE,CATALINA GARCIA DE LA CRUZ
